First Name,Last Name,Street Number,Country
MICHAEL,LastNameD,67,CANADA
WILLIAM,LastNameE,67,INDIA
DAVID,LastNameF,54,USA
JOSEPH,LastNameB,160,CANADA
JOHN,LastNameF,160,CANADA
DAVID,LastNameE,56,CHINA
DAVID,LastNameB,54,INDIA
JOSEPH,LastNameC,54,CANADA
ROBERT,LastNameF,56,INDIA
RICHARD,LastNameC,56,SINGAPORE
RICHARD,LastNameC,21,USA
DAVID,LastNameC,45,INDIA
ROBERT,LastNameC,67,USA
CHARLES,LastNameC,56,SINGAPORE
WILLIAM,LastNameC,21,INDIA
RICHARD,LastNameB,21,CANADA
MICHAEL,LastNameE,160,INDIA
WILLIAM,LastNameC,45,USA
JOHN,LastNameC,21,CANADA
MICHAEL,LastNameB,160,USA
